termino,fs,polaridad,Observación,
digno,strongsubj,POS,,
dilema,weaksubj,NEG,,
diligencia,weaksubj,POS,,
diminuto,weaksubj,NEG,,
dinámico,strongsubj,POS,,
diplomático,weaksubj,POS,,
discapacitado,weaksubj,NEG,,
disciplina,strongsubj,POS,,
discordia,strongsubj,NEG,,
discreción,strongsubj,POS,,
discreto,strongsubj,POS,,
discriminar,strongsubj,NEG,,
discutir,weaksubj,NEG,,
disfrutar,strongsubj,POS,,
disgustar,strongsubj,NEG,,
disimular,weaksubj,NEG,,
disminuir,weaksubj,NEG,,
disparate,strongsubj,NEG,,
disponbilidad,strongsubj,POS,,
disposición,strongsubj,POS,,
dispuesto,strongsubj,POS,,
disputa,strongsubj,NEG,,
distanciado,strongsubj,NEG,,
distinción,strongsubj,POS,,
distinguir,weaksubj,POS,,
distinto,weaksubj,POS,,
distorsión,strongsubj,NEG,,
distracción,strongsubj,NEG,,
distraer,strongsubj,NEG,,
distraído,strongsubj,NEG,,
disturbio,strongsubj,NEG,,
disuadir,strongsubj,NEG,,
divagar,strongsubj,NEG,,
diversificado,weaksubj,POS,,
diversión,strongsubj,POS,,
divertir,strongsubj,POS,,
dividir,weaksubj,NEG,,
divino,strongsubj,POS,,
divisible,weaksubj,NEG,,
división,weaksubj,NEG,,
divorciado,weaksubj,NEG,,
doblado,weaksubj,NEG,,
dócil,strongsubj,POS,,
doler,strongsubj,NEG,,
dolor,strongsubj,NEG,,
dominar,strongsubj,POS,,
dominio,strongsubj,POS,,
drama,strongsubj,NEG,,
drástico,weaksubj,NEG,,
adecuado,weaksubj,POS,,
droga,strongsubj,NEG,,
duda,strongsubj,NEG,,
duelo,strongsubj,NEG,,
dulce,weaksubj,POS,,
dulzura,weaksubj,POS,,
durable,weaksubj,POS,,
duradero,weaksubj,POS,,
educado,strongsubj,POS,,
atrasado,strongsubj,NEG,,
efectivo,strongsubj,POS,,
eficacia,strongsubj,POS,,
eficaz,strongsubj,POS,,
eficiente,strongsubj,POS,,
atrasado,strongsubj,NEG,,
efusivo,strongsubj,POS,,
ego,strongsubj,NEG,,
egocéntrico,strongsubj,NEG,,
egoísta,strongsubj,NEG,,
ególatra,strongsubj,NEG,,
ejemplar,strongsubj,POS,,
ejemplificar,strongsubj,POS,,
elegancia,strongsubj,POS,,
elegante,strongsubj,POS,,
elegible,weaksubj,POS,,
elevar,weaksubj,POS,,
eliminar,weaksubj,NEG,,
elitista,strongsubj,NEG,,
elocuencia,strongsubj,POS,,
elogiar,strongsubj,POS,,
eludir,strongsubj,NEG,,
embarazoso,weaksubj,NEG,,
embellecer,strongsubj,POS,,
embrollo,strongsubj,NEG,,
embrutecer,strongsubj,NEG,,
embustero,strongsubj,NEG,,
eminencia,strongsubj,POS,,
emoción,weaksubj,POS,,
empalagoso,weaksubj,NEG,,
empatía,strongsubj,POS,,
empático,strongsubj,POS,,
empeño,strongsubj,POS,,
empeorar,strongsubj,NEG,,
empequeñecer,strongsubj,NEG,,
emprendedor,strongsubj,POS,,
enano,strongsubj,NEG,,
encantar,strongsubj,POS,,
encojerse,strongsubj,NEG,,
endulzar,weaksubj,POS,,
enemigo,strongsubj,NEG,,
enemistad,strongsubj,NEG,,
enérgico,strongsubj,POS,,
energizar,strongsubj,POS,,
enervante,strongsubj,NEG,,
enfado,strongsubj,NEG,,
enfático,weaksubj,POS,,
enfermar,weaksubj,NEG,,
enfermedad,weaksubj,NEG,,
enfermizo,weaksubj,NEG,,
enfermo,weaksubj,NEG,,
enfurecer,strongsubj,NEG,,
engañar,strongsubj,NEG,,
engatusar,strongsubj,NEG,,
engreído,strongsubj,NEG,,engreído
enloquecer,strongsubj,NEG,,enloquecer
enojo,strongsubj,NEG,,enojo
enriquecer,strongsubj,POS,,enriquecer
enseña,strongsubj,POS,,enseña
entender,strongsubj,POS,,entender
entrega,weaksubj,POS,,entrega
entretener,weaksubj,POS,,entretener
entrometido,strongsubj,NEG,,entrometido
entusiasta,strongsubj,POS,,entusiasta
envidia,strongsubj,NEG,,envidia
equitativo,strongsubj,POS,,equitativo
equivoca,strongsubj,NEG,,equivoca
errar,strongsubj,NEG,,errar
error,strongsubj,NEG,,error
escandalizar,strongsubj,NEG,,escandalizar
escaso,weaksubj,NEG,,escaso
esclavizar,strongsubj,NEG,,esclavizar
escoria,strongsubj,NEG,,escoria
escrúpulos,strongsubj,POS,,escrúpulos
esencial,weaksubj,POS,,esencial
esfuerza,strongsubj,POS,,esfuerza
esmerado,strongsubj,POS,,esmerado
espantar,strongsubj,NEG,,espantar
especial,strongsubj,POS,,especial
espectacular,strongsubj,POS,,espectacular
espléndido,strongsubj,POS,,espléndido
esporádico,weaksubj,NEG,,esporádico
estable,strongsubj,POS,,estable
estafar,strongsubj,NEG,,estafar
estancarse,strongsubj,NEG,,estancarse
estar,weaksubj,POS,,estar
acechar,strongsubj,NEG,,acechar
estático,weaksubj,NEG,,estático
estereotipo,weaksubj,NEG,,estereotipo
estimular,strongsubj,POS,,estimular
estrés,strongsubj,NEG,,estrés
estricto,weaksubj,NEG,,estricto
estropear,strongsubj,NEG,,estropear
estudio,strongsubj,POS,,estudio
estupendo,strongsubj,POS,,estupendo
estupidez,strongsubj,NEG,,estupidez
eternidad,weaksubj,NEG,,eternidad
ético,strongsubj,POS,,ético
agotador,strongsubj,NEG,,agotadoras
evadir,strongsubj,NEG,,evadir
evasivo,strongsubj,NEG,,evasivo
evidente,weaksubj,POS,,evidente
evitar,weaksubj,POS,,evitar
exagerar,strongsubj,NEG,,exagerar
exaltar,strongsubj,NEG,,exaltar
exceder,strongsubj,NEG,,exceder
excelente,strongsubj,POS,,excelente
excéntrico,weaksubj,NEG,,excéntrico
excepcional,strongsubj,POS,,excepcional
excesivo,strongsubj,NEG,,excesivo
excluir,strongsubj,NEG,,excluir
excusa,strongsubj,NEG,,excusa
exhaustivo,weaksubj,POS,,exhaustivo
exige,strongsubj,POS,,exige
éxito,strongsubj,POS,,exitosamente
exorbitante,weaksubj,POS,,exorbitante
experto,strongsubj,POS,,experto
explícito,weaksubj,POS,,explícito
práctico,weaksubj,POS,,práctico
explotar,weaksubj,NEG,,explotar
expresivo,weaksubj,POS,,expresivo
expuesto,weaksubj,NEG,,expuesto
expulsar,weaksubj,NEG,,expulsar
extendido,weaksubj,NEG,,extendido
extorsionar,strongsubj,NEG,,extorsionar
extraño,weaksubj,NEG,,extraño
extraordinario,strongsubj,POS,,extraordinario
extravagante,strongsubj,NEG,,extravagante
extravío,strongsubj,NEG,,extravío
extremo,weaksubj,NEG,,extremo
extrovertida,weaksubj,POS,,extrovertida
exuberante,strongsubj,POS,,exuberante
fabuloso,strongsubj,POS,,fabuloso
fácil,strongsubj,POS,,fácil
fascinación,strongsubj,POS,,facinación
factible,strongsubj,POS,,factible
fallo,strongsubj,NEG,,fallo
falta,strongsubj,NEG,,falta
fanfarrón,strongsubj,NEG,,fanfarrón
fantástico,strongsubj,POS,,fantástico
farsa,strongsubj,NEG,,farsa
fascinar,strongsubj,POS,,fascinar
fastidiar,strongsubj,NEG,,fastidiar
fatal,strongsubj,NEG,,fatal
fatiga,strongsubj,NEG,,fatiga
favorecer,strongsubj,POS,,favorecer
favoritismo,strongsubj,NEG,,favoritismo
felicitar,strongsubj,POS,,felicitar
feliz,strongsubj,POS,,feliz
fenomenal,strongsubj,POS,,fenomenal
feo,strongsubj,NEG,,feo
fervor,strongsubj,POS,,fervor
festivo,weaksubj,POS,,festivo
fiable,strongsubj,POS,,fiable
fiasco,strongsubj,NEG,,fiasco
ficticio,weaksubj,NEG,,ficticio
fidelidad,strongsubj,POS,,fidelidad
fingir,strongsubj,NEG,,fingir
firme,strongsubj,POS,,firme
flojo,weaksubj,NEG,,flojo
fluido,weaksubj,POS,,fluido
fobia,strongsubj,NEG,,fobia
fomentar,strongsubj,POS,,fomentar
forcejeo,strongsubj,NEG,,forcejeo
forjado,weaksubj,POS,,forjado
fortuito,weaksubj,POS,,fortuito
fortuna,strongsubj,POS,,fortuna
fracaso,strongsubj,NEG,,fracaso
frágil,weaksubj,NEG,,frágil
franco,strongsubj,POS,,franco
fraudulento,strongsubj,NEG,,fraudulento
frenético,weaksubj,NEG,,frenético
fríamente,weaksubj,NEG,,fríamente
frío,weaksubj,NEG,,frío
frívolo,strongsubj,NEG,,frívolo
fructuoso,weaksubj,POS,,fructuoso
frustrar,strongsubj,NEG,,frustrar
fuerte,strongsubj,POS,,fuerte
pésima,strongsubj,NEG,,pésima
fulminar,strongsubj,NEG,,fulminar
funcional,strongsubj,POS,,funcional
furioso,strongsubj,NEG,,furioso
galantemente,strongsubj,POS,,galantemente
ganas,strongsubj,POS,,ganas
nunca,weaksubj,NEG,,nunca
ganga,strongsubj,POS,,ganga
generosidad,strongsubj,POS,,generosidad
genial,strongsubj,POS,,genial
genio,strongsubj,POS,,genio
genuino,weaksubj,POS,,genuino
golpe,strongsubj,NEG,,golpe
gordo,weaksubj,NEG,,gordo
gracioso,weaksubj,NEG,,gracioso
gráfico,weaksubj,POS,,gráfico
grandioso,strongsubj,POS,,grandioso
gratificar,strongsubj,POS,,gratificar
grave,strongsubj,NEG,,grave
pobre,strongsubj,NEG,,pobre
grosero,strongsubj,NEG,,grosero
gustoso,strongsubj,POS,,gustoso
hábil,strongsubj,POS,,hábil
hartar,strongsubj,NEG,,hartar
hostil,strongsubj,NEG,,hostil
improvisado,weaksubj,NEG,,improvisado
humilde,strongsubj,POS,,humilde
humillar,strongsubj,NEG,,humillar
humor,weaksubj,POS,,humor
ideal,strongsubj,POS,,ideal
imparcial,strongsubj,POS,,imparcial
imparte,weaksubj,POS,,imparte
imprudente,strongsubj,NEG,,imprudente
inaceptable,strongsubj,NEG,,inaceptable
inadaptado,strongsubj,NEG,,inadaptado
inadvertido,weaksubj,NEG,,inadvertido
inaguantable,strongsubj,NEG,,inaguantable
inatacable,strongsubj,POS,,inatacable
incalculable,strongsubj,POS,,incalculable
incapaz,strongsubj,NEG,,incapaz
incauto,strongsubj,NEG,,incauto
incierto,weaksubj,NEG,,incierto
incitar,strongsubj,NEG,,incitar
incluso,weaksubj,POS,,incluso
incómodo,weaksubj,NEG,,incómodo
incompatible,strongsubj,NEG,,incompatible
incompleto,weaksubj,NEG,,incompleto
incomprensible,strongsubj,NEG,,incomprensible
inconcebible,strongsubj,NEG,,inconcebible
inconcluso,strongsubj,NEG,,inconcluso
incondicional,strongsubj,POS,,incondicional
inconsistencia,strongsubj,NEG,,inconsistence
inconstitucional,strongsubj,NEG,,inconstitucional
inconveniente,weaksubj,NEG,,inconveniente
incorruptible,strongsubj,POS,,incorruptible
incrédulo,weaksubj,NEG,,incrédulo
increíble,strongsubj,POS,,increíble
incuestionable,strongsubj,POS,,incuestionable
incumplido,strongsubj,NEG,,incumplido
indebido,strongsubj,NEG,,indebido
indeciso,weaksubj,NEG,,indeciso
indefensible,strongsubj,NEG,,indefensible
indefinido,weaksubj,NEG,,indefinido
indeseable,strongsubj,NEG,,indeseable
indestructible,strongsubj,POS,,indestructible
indeterminado,weaksubj,NEG,,indeterminado
indiferente,strongsubj,NEG,,indiferente
indigencia,strongsubj,NEG,,indigencia
indignante,strongsubj,NEG,,indignante
indiscreto,weaksubj,NEG,,indiscreto
indiscutible,weaksubj,POS,,indiscutible
indispensable,strongsubj,POS,,indispensable
indispuesto,weaksubj,NEG,,indispuesto
indisputable,strongsubj,POS,,indisputable
indistinto,weaksubj,POS,,indistinto
individualidad,weaksubj,POS,,individualidad
indomable,strongsubj,POS,,indomable
indudable,strongsubj,POS,,indudable
ineficacia,strongsubj,NEG,,ineficacia
ineficiencia,strongsubj,NEG,,ineficiencia
inelegible,weaksubj,NEG,,ineligible
inelocuente,strongsubj,NEG,,inelocuente
ineludiblemente,weaksubj,NEG,,ineludiblemente
ineptitud,strongsubj,NEG,,ineptitud
inequidades,strongsubj,NEG,,inequidades
inequívoco,strongsubj,POS,,inequívoco
inercia,weaksubj,POS,,inercia
inescapable,weaksubj,POS,,inescapable
inesencial,weaksubj,NEG,,inesencial
inesperado,weaksubj,NEG,,inesperado
inestabilidad,weaksubj,NEG,,inestabilidad
inestimable,strongsubj,POS,,inestimable
inevitable,weaksubj,NEG,,inevitable
inexacto,weaksubj,NEG,,inexacto
inexcusable,strongsubj,NEG,,inexcusable
inexistente,weaksubj,NEG,,inexistente
inexperto,weaksubj,NEG,,inexperto
inexplicable,weaksubj,NEG,,inexplicable
infalible,strongsubj,POS,,infalible
infame,strongsubj,NEG,,infame
infeliz,strongsubj,NEG,,infeliz
inferioridad,strongsubj,NEG,,inferioridad
infernal,strongsubj,NEG,,infernal
infestar,weaksubj,NEG,,infestar
infiltrado,weaksubj,NEG,,infiltrado
inflexible,strongsubj,NEG,,inflexible
influyente,weaksubj,POS,,influyente
informativo,weaksubj,POS,,informativo
infortunio,strongsubj,NEG,,infortunio
infracción,weaksubj,NEG,,infracción
infringir,strongsubj,NEG,,infringir
infundado,strongsubj,NEG,,infundado
ingenioso,strongsubj,POS,,ingenioso
ingenuo,weaksubj,NEG,,ingenuo
ingobernable,strongsubj,NEG,,ingobernable
ingratitud,strongsubj,NEG,,ingratitud
inhibir,weaksubj,NEG,,inhibir
inhumano,strongsubj,NEG,,inhumano
inicuo,strongsubj,NEG,,inicuo
inimaginable,weaksubj,POS,,inimaginable
injusto,strongsubj,NEG,,injusto
inmóvil,weaksubj,NEG,,inmóvil
inmundo,strongsubj,NEG,,inmundo
innecesario,weaksubj,NEG,,innecesario
innovador,weaksubj,POS,,innovador
inocente,weaksubj,POS,,inocente
inofensivo,strongsubj,POS,,inofensivo
inolvidable,strongsubj,POS,,inolvidable
inombrable,strongsubj,NEG,,inombrable
inoportuno,strongsubj,NEG,,inoportuno
inquietud,strongsubj,NEG,,inquietud
inquisitivo,strongsubj,POS,,inquisitivo
inseguridad,strongsubj,NEG,,inseguridad
insensibilidad,strongsubj,NEG,,insensibilidad
insensible,strongsubj,NEG,,insensible
insignificancia,weaksubj,NEG,,insignificancia
insinceridad,strongsubj,NEG,,insinceridad
insinuar,weaksubj,NEG,,insinuar
insistir,weaksubj,POS,,insistir
insociable,weaksubj,NEG,,insociable
insolente,strongsubj,NEG,,insolente
insolvente,weaksubj,NEG,,insolvente
insoportable,strongsubj,NEG,,insoportable
insostenible,strongsubj,NEG,,insostenible
inspirar,strongsubj,POS,,inspirar
instigar,strongsubj,NEG,,instigar
insubordinado,weaksubj,NEG,,insubordinado
insuficiente,weaksubj,NEG,,insuficiente
insufrible,strongsubj,NEG,,insufrible
insultante,strongsubj,NEG,,insultante
insuperable,weaksubj,POS,,insuperable
integridad,strongsubj,POS,,integridad
inteligente,strongsubj,POS,,inteligente
inteligible,strongsubj,POS,,inteligible
intencionadamente,weaksubj,POS,,intencionadamente
interceder,strongsubj,POS,,interceder
interes,weaksubj,POS,,interes
interferir,weaksubj,NEG,,interferir
interrumpir,weaksubj,NEG,,interrumpir
intimidación,weaksubj,NEG,,intimidación
intimidad,weaksubj,NEG,,intimidad
intimidar,weaksubj,NEG,,intimidar
intolerable,strongsubj,NEG,,intolerable
intranquilo,strongsubj,NEG,,intranquilo
intransigente,strongsubj,NEG,,intransigente
intratable,strongsubj,NEG,,intratable
