termino,fs,polaridad
confusion,strongsubj,NEG
confus,strongsubj,NEG
congel,weaksubj,NEG
mism,weaksubj,NEG
conmocion,strongsubj,NEG
conmovedor,strongsubj,POS
conoc,strongsubj,POS
conquist,weaksubj,POS
conscient,strongsubj,POS
consent,strongsubj,POS
consider,strongsubj,POS
consistent,weaksubj,POS
consol,weaksubj,POS
conspir,weaksubj,NEG
constant,strongsubj,POS
constern,strongsubj,NEG
construct,weaksubj,POS
consuel,strongsubj,POS
consum,strongsubj,POS
consum,weaksubj,NEG
contagi,weaksubj,NEG
contamin,strongsubj,NEG
contamin,weaksubj,NEG
cont,strongsubj,POS
contencion,strongsubj,NEG
contenci,strongsubj,NEG
contend,strongsubj,NEG
conten,weaksubj,POS
content,strongsubj,POS
continu,weaksubj,POS
contorsion,strongsubj,NEG
contr,weaksubj,NEG
contradec,strongsubj,NEG
contradiccion,strongsubj,NEG
contradich,strongsubj,NEG
contradictori,strongsubj,NEG
contraproducent,strongsubj,NEG
contrari,strongsubj,NEG
contribucion,weaksubj,POS
control,weaksubj,POS
controversi,weaksubj,NEG
contusion,weaksubj,NEG
convenc,weaksubj,POS
convenient,weaksubj,NEG
convenient,weaksubj,POS
convenir ,strongsubj,POS
conviccion,weaksubj,POS
convincent,strongsubj,POS
convulsion,strongsubj,NEG
cooper,weaksubj,POS
copi,strongsubj,NEG
coquet,strongsubj,NEG
cordial,weaksubj,POS
cordur,strongsubj,POS
correct,weaksubj,POS
correg,strongsubj,POS
corrig,strongsubj,POS
corr,weaksubj,NEG
corromp,strongsubj,NEG
corrupcion,strongsubj,NEG
corrupt,strongsubj,NEG
cort,weaksubj,NEG
cortej,strongsubj,POS
cortes,strongsubj,POS
cortes,weaksubj,POS
cosquille,strongsubj,NEG
costos,weaksubj,NEG
cotidian,strongsubj,NEG
creativ,strongsubj,POS
crecient,strongsubj,POS
credul,strongsubj,NEG
creenci,strongsubj,POS
creibl,strongsubj,POS
creyent,strongsubj,POS
crianz,strongsubj,POS
crisis,weaksubj,NEG
critic,strongsubj,NEG
deb,strongsubj,NEG
cronic,weaksubj,NEG
cruel,strongsubj,NEG
cuestion,strongsubj,NEG
cuid,weaksubj,POS
cuidad,weaksubj,POS
culp,strongsubj,NEG
culpabl,strongsubj,NEG
cumpl,weaksubj,POS
cumpl,strongsubj,POS
curi,strongsubj,POS
curios,strongsubj,POS
cursi,strongsubj,NEG
da�,weaksubj,NEG
deberi,strongsubj,NEG
debil,weaksubj,NEG
debil,strongsubj,NEG
debilit,weaksubj,NEG
decaid,strongsubj,NEG
decenci,weaksubj,POS
decent,weaksubj,POS
decepcion,strongsubj,NEG
decision,weaksubj,POS
decis,weaksubj,POS
declam,strongsubj,NEG
declin,weaksubj,NEG
decrec,weaksubj,NEG
decrecient,weaksubj,NEG
decrement,weaksubj,NEG
decrepit,strongsubj,NEG
decrepitud,strongsubj,NEG
dedic,strongsubj,POS
defect,strongsubj,NEG
defectu,strongsubj,NEG
defend,strongsubj,POS
defens,strongsubj,POS
defens,strongsubj,NEG
defensor,strongsubj,POS
deficient,weaksubj,NEG
defin,weaksubj,POS
definit,weaksubj,POS
deform,weaksubj,NEG
defraud,strongsubj,NEG
degener,strongsubj,NEG
degrad,strongsubj,NEG
dej,strongsubj,NEG
dej,weaksubj,NEG
delect,strongsubj,NEG
deleit,weaksubj,POS
deleit,strongsubj,POS
delic,weaksubj,POS
delincuent,weaksubj,NEG
delir,strongsubj,NEG
deliri,strongsubj,POS
delit,weaksubj,NEG
demacr,strongsubj,NEG
dement,strongsubj,NEG
demoniac,strongsubj,NEG
demoniz,strongsubj,NEG
demuestr,strongsubj,POS
denigr,strongsubj,NEG
deplor,strongsubj,NEG
deprav,strongsubj,NEG
depred,weaksubj,NEG
depresion,weaksubj,NEG
depriment,strongsubj,NEG
deprim,strongsubj,NEG
derech,weaksubj,POS
derrib,weaksubj,NEG
desacredit,strongsubj,NEG
desacuerd,strongsubj,NEG
desafect,strongsubj,NEG
desafi,strongsubj,NEG
desafortun,strongsubj,NEG
desagrad,strongsubj,NEG
desagradec,strongsubj,NEG
desagr,strongsubj,NEG
desahog,strongsubj,POS
desair,strongsubj,NEG
desalent,strongsubj,NEG
desalient,strongsubj,NEG
desalm,strongsubj,NEG
desampar,strongsubj,NEG
desanim,strongsubj,NEG
desaparec,weaksubj,NEG
desaprens,strongsubj,NEG
desaprob,strongsubj,NEG
desarm,weaksubj,NEG
desarraig,weaksubj,NEG
desarroll,strongsubj,POS
desasosieg,strongsubj,NEG
desastr,strongsubj,NEG
desatin,strongsubj,NEG
desautoriz,strongsubj,NEG
descabell,strongsubj,NEG
descans,weaksubj,NEG
descar,strongsubj,POS
descar,strongsubj,NEG
descompon,weaksubj,NEG
descompostur,weaksubj,NEG
desconcert,strongsubj,NEG
desconcert,weaksubj,NEG
desconciert,strongsubj,NEG
desconfi,strongsubj,NEG
desconoc,strongsubj,NEG
desconoc,weaksubj,NEG
desconsider,strongsubj,NEG
desconsol,strongsubj,NEG
desconsuel,strongsubj,NEG
descontent,strongsubj,NEG
descorazon,strongsubj,NEG
descortes,strongsubj,NEG
descr,strongsubj,NEG
descuid,strongsubj,NEG
descu,strongsubj,NEG
desde�,strongsubj,NEG
deseabl,strongsubj,POS
des,strongsubj,POS
desec,strongsubj,NEG
desempen,strongsubj,POS
desempe�,strongsubj,POS
desenfoqu,weaksubj,NEG
desenmara�,strongsubj,NEG
desense�,strongsubj,NEG
desentra�,weaksubj,NEG
dese,strongsubj,POS
desercion,strongsubj,NEG
deservici,strongsubj,NEG
desesper,strongsubj,NEG
desestabiliz,strongsubj,NEG
desfachatez,strongsubj,NEG
desfallec,strongsubj,NEG
desfavor,strongsubj,NEG
desfavorec,strongsubj,NEG
desgast,weaksubj,NEG
desgraci,strongsubj,NEG
deshac,weaksubj,NEG
deshech,weaksubj,NEG
deshiz,weaksubj,NEG
deshonest,strongsubj,NEG
deshonr,strongsubj,NEG
deshumaniz,strongsubj,NEG
desigual,strongsubj,NEG
desiguald,strongsubj,NEG
desilusion,strongsubj,NEG
desinform,strongsubj,NEG
desintegr,weaksubj,NEG
desinteres,strongsubj,NEG
desinteres,weaksubj,NEG
desleal,strongsubj,NEG
deslealt,strongsubj,NEG
deslumbr,strongsubj,POS
desliz,strongsubj,NEG
desluc,strongsubj,NEG
deslumbr,strongsubj,NEG
deslumbrador,strongsubj,NEG
desmay,weaksubj,NEG
desment,strongsubj,NEG
desmitific,strongsubj,POS
desmoraliz,strongsubj,NEG
desmoron,weaksubj,NEG
desmot,strongsubj,NEG
desobedec,strongsubj,NEG
desobedient,strongsubj,NEG
desol,strongsubj,NEG
desord,strongsubj,NEG
desorden,strongsubj,NEG
desorden,weaksubj,NEG
desorganiz,strongsubj,NEG
desorient,strongsubj,NEG
despaci,weaksubj,NEG
despech,strongsubj,NEG
despect,strongsubj,NEG
despefect,weaksubj,NEG
desperdici,weaksubj,NEG
desperfect,weaksubj,NEG
despert,strongsubj,POS
despiad,strongsubj,NEG
despilfarr,strongsubj,NEG
despilfarr,weaksubj,NEG
desplaz,weaksubj,NEG
despoj,strongsubj,NEG
despot,strongsubj,NEG
despotric,strongsubj,NEG
despreci,strongsubj,NEG
despreocup,strongsubj,NEG
despreocup,strongsubj,POS
despreven,weaksubj,NEG
desproporcion,weaksubj,NEG
desprov,strongsubj,NEG
destac,strongsubj,NEG
destac,weaksubj,POS
destartal,strongsubj,NEG
destell,weaksubj,POS
desterr,strongsubj,NEG
destierr,strongsubj,NEG
destin,weaksubj,POS
destin,strongsubj,POS
destrez,weaksubj,POS
destrip,strongsubj,NEG
destruccion,weaksubj,NEG
destruct,strongsubj,NEG
destructor,strongsubj,NEG
destru,weaksubj,NEG
desunion,strongsubj,NEG
desval,strongsubj,NEG
desval,strongsubj,POS
desvanec,weaksubj,NEG
desvari,strongsubj,NEG
desventaj,strongsubj,NEG
desvergonz,strongsubj,NEG
desverg�enz,strongsubj,NEG
desviacion,strongsubj,NEG
desviacion,weaksubj,NEG
desv,strongsubj,NEG
desvi,weaksubj,NEG
deterior,weaksubj,NEG
determinacion,strongsubj,POS
determin,strongsubj,POS
detest,strongsubj,NEG
detraccion,weaksubj,NEG
detr,weaksubj,NEG
detriment,strongsubj,NEG
devast,weaksubj,NEG
devast,strongsubj,NEG
devocion,strongsubj,POS
diabl,strongsubj,NEG
diablur,strongsubj,NEG
diabol,strongsubj,NEG
diametral,strongsubj,NEG
diatrib,strongsubj,NEG
dich,strongsubj,POS
dichos,strongsubj,POS
dictador,weaksubj,NEG
dictatorial,weaksubj,NEG
didact,strongsubj,POS
diestr,strongsubj,POS
difam,strongsubj,NEG
difamatori,strongsubj,NEG
dif�cil,strongsubj,NEG
diferent,strongsubj,NEG
difer,weaksubj,NEG
dificil,strongsubj,NEG
dificult,strongsubj,NEG
difunt,strongsubj,NEG
dignid,strongsubj,POS
dignific,weaksubj,POS
dign,strongsubj,POS
dilacion,strongsubj,NEG
dilem,weaksubj,NEG
diligent,weaksubj,POS
diluvi,weaksubj,NEG
diminut,weaksubj,NEG
dinam,weaksubj,POS
dinam,strongsubj,POS
diplomat,weaksubj,POS
discapacit,weaksubj,NEG
disciplin,strongsubj,POS
discord,strongsubj,NEG
discordi,strongsubj,NEG
discrecion,weaksubj,POS
discrep,weaksubj,NEG
discrep,strongsubj,NEG
discret,strongsubj,POS
discret,weaksubj,POS
discrimin,weaksubj,NEG
discrimin,weaksubj,POS
discriminatori,strongsubj,NEG
discut,weaksubj,NEG
discutidor,strongsubj,NEG
discut,strongsubj,NEG
disension,strongsubj,NEG
disfrut,weaksubj,POS
disfrut,strongsubj,POS
disgust,strongsubj,NEG
disgust,weaksubj,NEG
disident,strongsubj,NEG
disimul,strongsubj,NEG
disloc,weaksubj,NEG
disminu,weaksubj,NEG
disparat,strongsubj,NEG
dispens,weaksubj,NEG
displicent,strongsubj,NEG
disponbil,strongsubj,POS
disposicion,strongsubj,POS
dispuest,strongsubj,POS
disput,strongsubj,NEG
disrupt,strongsubj,NEG
distanci,strongsubj,NEG
distincion,weaksubj,POS
distingu,strongsubj,POS
distingu,weaksubj,POS
distint,weaksubj,POS
distorsion,strongsubj,NEG
distraccion,strongsubj,NEG
distr,weaksubj,NEG
distr,strongsubj,NEG
distraid,strongsubj,NEG
disturbi,strongsubj,NEG
disuad,strongsubj,NEG
disuad,weaksubj,NEG
disuas,strongsubj,NEG
disuas,weaksubj,NEG
disvalor,strongsubj,NEG
divag,strongsubj,NEG
divergent,weaksubj,NEG
diversific,weaksubj,POS
diversion,strongsubj,NEG
diversion,strongsubj,POS
divert,strongsubj,POS
divid,weaksubj,NEG
divin,strongsubj,POS
divis,strongsubj,NEG
division,weaksubj,NEG
division,strongsubj,NEG
divorci,weaksubj,NEG
dobl,weaksubj,NEG
docil,strongsubj,POS
dol,strongsubj,NEG
dolient,strongsubj,NEG
dolor,strongsubj,NEG
domin,strongsubj,POS
domin,strongsubj,NEG
domin,weaksubj,NEG
domini,weaksubj,POS
dram,strongsubj,NEG
drastic,strongsubj,NEG
drog,weaksubj,NEG
dud,strongsubj,NEG
duel,strongsubj,NEG
dulc,weaksubj,POS
dulcement,weaksubj,POS
dulzur,weaksubj,POS
durabil,weaksubj,POS
durabl,weaksubj,POS
durader,strongsubj,POS
educ,weaksubj,POS
educ,strongsubj,POS
efect,strongsubj,POS
eficaci,weaksubj,POS
eficaz,weaksubj,POS
eficient,weaksubj,POS
eficient,strongsubj,POS
efusion,strongsubj,POS
efus,strongsubj,POS
ego,strongsubj,NEG
egocentr,strongsubj,NEG
egoism,strongsubj,NEG
egoist,strongsubj,NEG
egolatr,strongsubj,NEG
egoman,strongsubj,NEG
egot,strongsubj,NEG
ejempl,strongsubj,POS
ejemplif,strongsubj,POS
ejemplific,strongsubj,POS
eleg,strongsubj,POS
eleg,weaksubj,POS
elev,strongsubj,POS
elev,weaksubj,POS
elimin,weaksubj,NEG
elimin,strongsubj,NEG
elit,weaksubj,POS
elit,strongsubj,NEG
elocuent,strongsubj,POS
elogi,strongsubj,POS
elud,strongsubj,NEG
emancip,weaksubj,POS
embaraz,strongsubj,NEG
embat,weaksubj,NEG
embeles,strongsubj,POS
embellec,strongsubj,POS
embest,strongsubj,NEG
embosc,weaksubj,NEG
embot,strongsubj,NEG
embroll,strongsubj,NEG
embroll,weaksubj,NEG
embrom,weaksubj,NEG
embrutecedor,strongsubj,NEG
embrutec,strongsubj,NEG
embuster,strongsubj,NEG
eminent,strongsubj,POS
emocion,strongsubj,POS
emocional,strongsubj,NEG
empalag,strongsubj,NEG
empa�,weaksubj,NEG
empat,strongsubj,NEG
empatiz,strongsubj,NEG
empe�,strongsubj,POS
empeor,strongsubj,NEG
empeque�ec,strongsubj,NEG
empin,weaksubj,NEG
empoder,weaksubj,POS
emprendedor,weaksubj,POS
en pedaz,strongsubj,NEG
enajen,weaksubj,NEG
enan,strongsubj,NEG
encant,strongsubj,POS
encantador,strongsubj,POS
encapot,strongsubj,NEG
encoj,strongsubj,NEG
encomi,strongsubj,POS
endos,strongsubj,POS
endulz,strongsubj,NEG
endulz,weaksubj,POS
enemig,strongsubj,NEG
enemig,weaksubj,NEG
enemist,strongsubj,NEG
energet,weaksubj,POS
energ,weaksubj,POS
energiz,weaksubj,POS
enerv,strongsubj,NEG
enfad,strongsubj,NEG
enfat,strongsubj,NEG
enferm,weaksubj,NEG
enfermed,weaksubj,NEG
enfermiz,strongsubj,NEG
enferm,strongsubj,NEG
enfriamient,weaksubj,POS
enfurec,strongsubj,NEG
enga�,strongsubj,NEG
engatus,strongsubj,NEG
engatus,strongsubj,POS
engreid,strongsubj,NEG
engreimient,strongsubj,NEG
enjuici,strongsubj,NEG
enloquecedor,strongsubj,NEG
enloquec,strongsubj,NEG
ennoblec,strongsubj,POS
enoj,strongsubj,NEG
enorm,strongsubj,NEG
enred,weaksubj,NEG
enred,strongsubj,NEG
enriquec,weaksubj,POS
ensalz,strongsubj,POS
ensay,weaksubj,NEG
ense�,strongsubj,POS
ensordecedor,strongsubj,NEG
ensuci,strongsubj,NEG
ensue�,strongsubj,POS
entend,strongsubj,POS
entiend,strongsubj,POS
entramp,strongsubj,NEG
entra�,strongsubj,POS
entreg,weaksubj,POS
entreten,weaksubj,POS
entreten,strongsubj,POS
entristec,strongsubj,NEG
entromet,strongsubj,NEG
entumec,weaksubj,NEG
entusiasm,strongsubj,POS
entusiast,strongsubj,POS
envalenton,weaksubj,POS
envidi,strongsubj,NEG
envidi,strongsubj,POS
equilibr,weaksubj,POS
equilibri,strongsubj,POS
equit,weaksubj,POS
equivoc,strongsubj,NEG
equivoc,weaksubj,NEG
erosion,weaksubj,NEG
erradic,weaksubj,NEG
errant,weaksubj,NEG
errar,strongsubj,NEG
errat,strongsubj,NEG
erron,strongsubj,NEG
errone,strongsubj,NEG
error,strongsubj,NEG
error,weaksubj,NEG
erudit,strongsubj,POS
erupcion,strongsubj,NEG
esbelt,weaksubj,POS
escalofri,strongsubj,NEG
escalofri,weaksubj,NEG
escalon,weaksubj,NEG
escam,weaksubj,NEG
escandaliz,strongsubj,NEG
escandal,strongsubj,NEG
escandal,weaksubj,NEG
escapatori,strongsubj,NEG
escap,weaksubj,NEG
escas,weaksubj,POS
escasez,weaksubj,NEG
escas,weaksubj,NEG
escen,weaksubj,POS
escept,strongsubj,NEG
esceptic,strongsubj,NEG
esclavitud,strongsubj,NEG
esclaviz,strongsubj,NEG
esclav,strongsubj,NEG
escond,strongsubj,NEG
escori,strongsubj,NEG
escozor,strongsubj,NEG
escrupul,strongsubj,POS
escuchimiz,strongsubj,NEG
escud,weaksubj,POS
esencial,weaksubj,POS
esforz,strongsubj,POS
esfuerz,weaksubj,POS
esfuerz,weaksubj,NEG
esmer,strongsubj,POS
esoter,weaksubj,NEG
espaci,weaksubj,POS
espald,weaksubj,POS
espaldaraz,strongsubj,POS
espant,strongsubj,NEG
especial,weaksubj,POS
especial,strongsubj,POS
espectacul,strongsubj,POS
espectacular,strongsubj,POS
espectacul,strongsubj,NEG
espej,strongsubj,NEG
espeluzn,strongsubj,POS
espi,strongsubj,NEG
espin,strongsubj,NEG
espiritu,weaksubj,POS
espiritual,strongsubj,POS
esplendid,strongsubj,POS
esplend,strongsubj,POS
esplendor,strongsubj,POS
espolon,strongsubj,POS
esporad,weaksubj,NEG
espum,weaksubj,POS
espuri,strongsubj,NEG
esquelet,strongsubj,NEG
esquem,weaksubj,NEG
esquiv,strongsubj,POS
estabil,weaksubj,POS
estabiliz,weaksubj,POS
establ,weaksubj,POS
establec,weaksubj,POS
estac,weaksubj,NEG
estac,strongsubj,NEG
estaf,strongsubj,NEG
estamp,weaksubj,NEG
estanc,weaksubj,NEG
estanc,strongsubj,NEG
estant,strongsubj,NEG
estar,weaksubj,POS
acech,strongsubj,NEG
estat,weaksubj,NEG
estatuari,strongsubj,POS
estel,strongsubj,POS
estereotip,strongsubj,NEG
esteril,strongsubj,NEG
estigm,strongsubj,NEG
estigmatiz,strongsubj,NEG
estim,strongsubj,POS
estimul,strongsubj,POS
estimul,weaksubj,POS
estof,strongsubj,NEG
estol,weaksubj,NEG
estrangul,weaksubj,NEG
estrech,weaksubj,NEG
estreg,strongsubj,POS
estrell,strongsubj,POS
estres,strongsubj,NEG
estrict,strongsubj,NEG
estrident,strongsubj,NEG
estrop,strongsubj,NEG
estruend,weaksubj,NEG
estruend,strongsubj,NEG
estudi,strongsubj,POS
estupefact,strongsubj,NEG
estupend,strongsubj,POS
estupid,strongsubj,NEG
estupidez,strongsubj,NEG
estup,strongsubj,NEG
estupor,strongsubj,NEG
etern,strongsubj,POS
etic,strongsubj,POS
eufori,strongsubj,POS
eufor,strongsubj,POS
evad,weaksubj,NEG
evasion,weaksubj,NEG
evas,weaksubj,NEG
evident,weaksubj,POS
evident,strongsubj,POS
evit,weaksubj,NEG
evit,strongsubj,NEG
evoc,strongsubj,POS
exacerb,strongsubj,NEG
exact,weaksubj,POS
exager,strongsubj,NEG
exalt,strongsubj,NEG
exalt,strongsubj,POS
exasper,strongsubj,NEG
exced,strongsubj,POS
excelent,strongsubj,POS
excentr,weaksubj,NEG
excentr,strongsubj,NEG
excepcional,strongsubj,POS
exces,strongsubj,NEG
exclam,strongsubj,NEG
exclu,weaksubj,NEG
exclusion,weaksubj,NEG
exclus,weaksubj,POS
excori,strongsubj,NEG
excus,weaksubj,NEG
excus,strongsubj,POS
execr,strongsubj,NEG
exelent,strongsubj,POS
exhaust,weaksubj,POS
exhort,strongsubj,NEG
exig,strongsubj,POS
exigent,strongsubj,NEG
exigu,strongsubj,NEG
exili,weaksubj,NEG
exit,weaksubj,POS
exoner,strongsubj,POS
exorbitantanc,strongsubj,NEG
exorbit,strongsubj,NEG
expans,strongsubj,POS
experiment,weaksubj,POS
expert,weaksubj,POS
expert,strongsubj,POS
explicit,weaksubj,POS
practic,weaksubj,POS
explosion,strongsubj,NEG
explosion,weaksubj,NEG
explos,weaksubj,NEG
explot,strongsubj,NEG
explot,weaksubj,NEG
expres,strongsubj,POS
expres,weaksubj,POS
exprimidor,strongsubj,NEG
expropi,weaksubj,NEG
expuest,weaksubj,NEG
expuls,weaksubj,NEG
expurg,strongsubj,NEG
exquisit,strongsubj,POS
extasi,weaksubj,POS
extasi,weaksubj,NEG
extasis,strongsubj,POS
extat,strongsubj,POS
extend,weaksubj,NEG
extermin,strongsubj,NEG
extermini,strongsubj,NEG
extingu,weaksubj,NEG
extorsion,strongsubj,NEG
extorsion,weaksubj,NEG
extralimit,weaksubj,NEG
extra�,strongsubj,NEG
extra�,weaksubj,NEG
extraordinari,strongsubj,POS
extravag,strongsubj,NEG
extravi,strongsubj,NEG
extrem,strongsubj,NEG
extrem,weaksubj,NEG
extrovert,weaksubj,POS
exuber,strongsubj,POS
exult,strongsubj,POS
fabul,strongsubj,POS
facil,strongsubj,POS
facin,strongsubj,POS
factibl,weaksubj,POS
falaci,strongsubj,NEG
falaz,strongsubj,NEG
fall,weaksubj,NEG
fallec,strongsubj,NEG
falt,strongsubj,NEG
fanfarron,strongsubj,NEG
fantas,strongsubj,POS
fantast,strongsubj,POS
fars,strongsubj,NEG
fascin,strongsubj,POS
fascist,strongsubj,NEG
fastidi,strongsubj,NEG
fastuos,strongsubj,NEG
fatal,weaksubj,NEG
fatal,strongsubj,NEG
fatalist,strongsubj,NEG
fatid,strongsubj,NEG
fatig,weaksubj,NEG
fatig,strongsubj,NEG
favor,strongsubj,POS
favorec,strongsubj,POS
favorit,strongsubj,POS
favorit,strongsubj,NEG
feald,strongsubj,NEG
fecund,weaksubj,POS
felic,strongsubj,POS
felicit,strongsubj,POS
feliz,strongsubj,POS
felp,strongsubj,POS
fenomenal,strongsubj,POS
feo,strongsubj,NEG
feroc,strongsubj,NEG
feroz,strongsubj,NEG
fertil,strongsubj,NEG
fervient,strongsubj,POS
fervor,strongsubj,POS
festiv,strongsubj,POS
fet,strongsubj,NEG
fiabl,weaksubj,POS
fiasc,strongsubj,NEG
ficcion,weaksubj,NEG
fictici,strongsubj,NEG
fictici,weaksubj,NEG
fidel,strongsubj,POS
fielment,strongsubj,POS
fin,strongsubj,POS
fing,strongsubj,NEG
firm,strongsubj,NEG
firm,strongsubj,POS
firmement,strongsubj,POS
firmez,strongsubj,POS
firmez,weaksubj,POS
flagrant,strongsubj,NEG
floj,weaksubj,NEG
flor,weaksubj,POS
floracion,weaksubj,POS
flu,weaksubj,POS
fobi,strongsubj,NEG
fobic,strongsubj,NEG
foment,strongsubj,POS
foraster,weaksubj,NEG
forceje,strongsubj,NEG
