content,hotel,stars,title
"Estimado Pebly,",NH Collection Granada Victoria,"4,5 de 5 burbujas",No hay mejor lugar para parar en Granada
"Estimada Teresa,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Visitar Granada
"Ya llevaba tiempo queriendo ir a este hotel con encanto en la misma acera del Darro, justo enfrente del río y del Realejo y a las faldas de la Alhambra.",El Ladron de Agua,"4,5 de 5 burbujas",Hermoso Hotel de Arte
"Muy justito para ser un 5*. Le hace falta una buena renovación y mejorar el desayuno, muy poco variado para dicha categoría.",Eurostars Gran Vía,4 de 5 burbujas,MAGNÍFICO hotel con perfecta ubicación
"hemos estado 3 noche con un niño de 2 años y sin duda volveremos en nuestra próxima visita a esta maravillosa ciudad. Situación excelente y servicio de las personas del hotel inmejorable. Mejoraría el desayuno en cuanto a posibilidades, aunque tuviera que cobrarlo más caro. Creo que todo lo demás está a un nivel muy superior al del desayuno.",El Ladron de Agua,"4,5 de 5 burbujas","Especial, paz dentro del bullicio del Albaycín"
"La primera impresión cuando llegas al hotel es un mal olor en la recepción, pero luego en las habitaciones se agudiza. He estado en la 3 planta y el olor es desagradable.",Eurostars Gran Vía,4 de 5 burbujas,Malos Olores 
El hotel está muy bien situado en El Centro de granada . Solo por los malos olores de alcantarilla que tiene en la entrada los pasillos y en las habitaciones ( en mi caso 305 y 306 ) no merece este hotel los 5 estrellas que tiene . Es para no repetir ,Eurostars Gran Vía,4 de 5 burbujas,Estafa en la clasificación (no pasa de 3 estrellas)
"Hotel puramente urbano en el sentido estricto de la palabra, ni fu, ni fa. Está muy bien situado. La decoración es una mezcla sin ningún tipo de personalidad entre elementos antiguos, clásicos o ""viejos"", con otros muy modernos que no vienen a cuento. Los cuartos de baño de la habitación son absolutamente inapropiados, de cristal, que aunque son opacos no permiten ningún tipo de privacidad en el ""trono"". El personal es muy amable y simpático.",Eurostars Gran Vía,4 de 5 burbujas,Un olor insoportable a cañería
Claro y conciso: este hotel es de 3 estrellas. Es una estafa lo de las 5 estrellas. ,Eurostars Gran Vía,4 de 5 burbujas,Le sobra una estrella.
"Estimado huésped,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Excelente
"Bien situado, y buena calidad de las instalaciones. El ambiente muy bueno y una decoración muy cuidada.  Al lado del Albaycin y Plaza Nueva, en zona de restaurantes y bares. Las camas son mejorables. La habitación con techo alto, lo cual da una sensación de más amplitud.",El Ladron de Agua,"4,5 de 5 burbujas",Eleccion Perfecta
"Estimado Eduardo José,",NH Collection Granada Victoria,"4,5 de 5 burbujas","AHORA SI,   ¡¡¡  GENIAL  ¡¡¡¡"
"Estimado Antonio,",NH Collection Granada Victoria,"4,5 de 5 burbujas",NH Collection excelente
"Estimado emartinjuan3303, muchísimas gracias por su amable comentario, nuestra misión es exactamente darles la mejor estancia en la mejor habitación de hotel y nos alegra mucho haberlo conseguido con nuestra Suite Generalife. Esperamos volver a darle la bienvenida pronto, gracias por elegirnos!!!",El Ladron de Agua,"4,5 de 5 burbujas",JOYA A LOS PIES DE LA ALHAMBRA
"Estimado JuanL S, ",El Ladron de Agua,"4,5 de 5 burbujas",Gracias por alojarnos!!!!!!!!!!!!!!!
"Estimado Javier A,",El Ladron de Agua,"4,5 de 5 burbujas",Es un AirbnB
"Estimado Octavio, muchísimas gracias por su amable comentario. Nos alegra mucho que hayan disfrutado de su estancia, para nosotros fue un placer atenderles y esperamos recibirles de nuevo pronto. Gracias por elegirnos!!",El Ladron de Agua,"4,5 de 5 burbujas",La mejor atención recibida en mucho tiempo
"buen hotel con una muy buena atencion de de todo su personal como de cafeteria aunque el desayuno poco surtido pero se puede pedir algo mas , exelente la ubicacion muy cerca de todo los lugar a visitar llendo de turismo, la habitacion es la medida justa ,",Eurostars Gran Vía,4 de 5 burbujas,No vuelvo.
"Es un hotel en el que no necesitas coche para visitar, con muchos servicios cercanos, los recepcionistas muy atentos y simpáticos, después aprendí que pague 150 euros más,del precio por unas visitas guiadas por Alhambra, es humillante que hagan esto, pierden prestigio, según comprendí el manager esta cercano a esto. Imagino que es normal robar en un hotel 5 estrellas en granada.",Eurostars Gran Vía,4 de 5 burbujas,buena ubicacion
Habitaciones en un estado de conservación horrible.,Eurostars Gran Vía,4 de 5 burbujas,Un 4 Estrellas
"Hemos pasado un fin de semana en pareja. La ubicación genial para ir andando al centro...lo que quieras. Si vienes en coche no hay aparcamiento en la calle, pero el hotel tiene de pago. La habitación normal, como la de un 4*, dos camas individuales, tamaño normalito, pero moqueta en el suelo, y el baño totalmente abierto...intimidad 0. No tiene tele por cable. Todo muy limpio, pero con faltas...alguna mancha de hace la tos en la moqueta, signos de una gotera en el baño (cuenta con ducha y bañera independientes)... Amenities los normales de un 4*, por defecto no ponen ni albornoz ni zapatillas, el secador de 2000w de potencia, está bien. Las vistas de mi hab dan a una calle estrecha sin nada especial. El buffet más justo que he visto en mi vida, zumo de bote, jamón  serrano... que no ibérico, un tostador, dos tipos de pan y 3 bollerías. Hoy me he enterado que hay posibilidad de tortillas, pero no lo ofrecen. La atención muy correcta. La verdad es que para ser un hotel urbano de 5* creo que le sobra una respecto a otros que he conocido, por ej nada comparable con el Eurostars de Madrid de las 4 Torres.",Eurostars Gran Vía,4 de 5 burbujas,Le sobra una estrella
"Perfectamente ubicado en el centro de Granada, es una opción perfecta para visitar la ciudad. A escasos pasos de la catedral, al pie del Albaicin y con un autobus que te deja en la entrada de la Alhambra a pocos metros.",Eurostars Gran Vía,4 de 5 burbujas,"Muy céntrico, bien situado."
"Estimado David,",NH Collection Granada Victoria,"4,5 de 5 burbujas",NH Collection Granada Victoria
"Estimado David,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Fin de semana en Granada
Excelente ubicación para disfrutar de la maravillosa ciudad de Granada. Hotel con alma y encanto con mucho cuidado en todos los detalles. Cerca de todos los accesos a la Alhambra. ,El Ladron de Agua,"4,5 de 5 burbujas",un ladrón maravilloso
"Muy bonita arquitectura, muy buen gusto en los detalles, excelentes acabados en todo el ""hotel"", buena ubicación aunque algo ruidosa por todo el tráfico de la zona. ",El Ladron de Agua,"4,5 de 5 burbujas",Recomendable por calidad de las instalaciones ambiente y decoración
"Estimado Jorge,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Hotel excelente
"Estimado huésped,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Buen hotel
"Estimado Figuicoino, muchas gracias por su valoración. Todo el equipo del Ladrón de Agua celebra qe haya disfrutado de su estancia con nosotros y esperamos darle la bienvenida de nuevo muy pronto. Gracias!!",El Ladron de Agua,"4,5 de 5 burbujas",Estupendo hotel en el mejor sitio de Granada.
"Estimada mariwonderland, todo el equipo del Ladrón de Agua agradece sus amables palabras, estamos encantados de que disfrutaran tanto de su estadía!! Intentamos proporcionar la mejor estancia poniendo el cariño y mimo en cada detalle; desde la decoración de nuestra casa , los productos a su disposición y un servicio personalizado para hacer inolvidable su paso por esta mágica Granada!! Gracias por elegirnos!!",El Ladron de Agua,"4,5 de 5 burbujas",Maravilloso Hotel
"El hotel Reina Cristina es un hotel acogedor, con un servicio estupendo, muy bien ubicado en el centro de la ciudad y el casco viejo y económico. Os recomiendo que durante vuestra visita, os adentréis en los callejones del centro, encontrareis bares y tabernas tradicionales con tapas buenas. Por lo demás Granada es mágica. Si no la habéis visitado, hacedlo, hay cosas por ver en la vida que la hace más bonita.",Reina Cristina Hotel,4 de 5 burbujas,Correcto y céntrico 
"Estimado 5AVENIDA,Muchísimas gracias por su comentario, nos alegra comprobar que ha disfrutado tanto de su estancia. Todo el equipo del Ladrón de Agua y yo misma en particular les agradecemos sus amables palabras, para nosotros es fundamental el bienestar de nuestros huéspedes, esperamos verles pronto!! Gracias por elegirnos!!",El Ladron de Agua,"4,5 de 5 burbujas","""Is different"""
A destacar la buena atención por parte del personal de recepción y que está en un lugar céntrico (puedes ir caminando a todos los sitios interesantes de Granada). ,Reina Cristina Hotel,4 de 5 burbujas,Paredes de papel. No se vela por el descanso del cliente.
"Hotel con muy buena ubicación, la catedral a 5 minutos y el centro de la ciudad a 10. Se puede ir perfectamente andando a todos los puntos de interés. Es un hotel sin grandes lujos por su antigüedad, pero tiene todo lo necesario para pasar unos días y conocer la ciudad. Excelente atención del personal. ",Reina Cristina Hotel,4 de 5 burbujas,Fin de semana en Granada
"Reservamos una habitación en este hotel y al llegar la recepcionista, super amable nos ofreció la suite por el mismo precio como detalle de la casa. Disfrutamos de una habitación inmensa con salón y todas las comodidades que necesitábamos y más. El personal muy amable y atento en todo momento. Todo muy limpio. Y en el hall ofrecen aguas con frutas, chuches y chocolatinas. Sí que es cierto que un hotel 5* debería tener piscina, y otros servicios pero nuestra estancia fue más que perfecta. Además, el hotel está en el centro y cerca del centro a pie. Sin duda, muy recomendable.",Eurostars Gran Vía,4 de 5 burbujas,Mas cuatro que cinco estrellas
"Estimada Evangelina,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Hotel para volver
"Valorando el hotel en su conjunto, para mi opinión, es un cuatro estrellas.",Eurostars Gran Vía,4 de 5 burbujas,Perfecta estancia
"El hotel está genial, recién abierto. En frente de la Alhambra.",Eurostars Gran Vía,4 de 5 burbujas,Hotel con ubicación ideal
"Hotel antiguo, bien conservado, limpio y con encanto, se nota que fue un grande en su día. Camas muy cómodas y habitación también limpia. Hasta ahí todo bien. ",Reina Cristina Hotel,4 de 5 burbujas,"Perfecta ubicación, buen servicio."
"Los recepcionistas perfecto, nos pusieron muchas facilidades en todo momento, hasta nos dejaron por pagar unas entradas y las paganos el dia siguiente. Hay spa, y arriba un rollo chill out. Pero mas 4 que 5 estrellas creo.",Eurostars Gran Vía,4 de 5 burbujas,Fantástico 
"Estimado Jose Luis,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Visita familiar a Granada
"Estimado huésped,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Excelente hotel y servicio inmejorable!
"Estimado Jaime S,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Magnífica opción en el centro de Granada
"Estimado Jesús,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Cada año más confortable 
"Estimado huésped,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Recomendable!
"EStimada Patriciahc, muchísimas gracias por su comentario, estamos todos muy contentos de que hayan disfrutado tanto de su estancia, aquí tienen su casa!! Gracias por elegirnos!!",El Ladron de Agua,"4,5 de 5 burbujas",Maravilloso!
"No creo que sea un mal hotel pero quizá sea la organización la que deba mejorar algo. una de las razones por las que elegimos este hotel, aparte de su buena situación en el centro de la ciudad, es porque tenía parking. Cuando llegamos nos informan de que nuestro coche es demasiado grande para meterlo. Tenemos un kia sportage , con 4 m y poco, unas medidas bastante estándar. Menos mal que había muchos parking por la zona y no tuvimos problema de meterlo en otro cercano. El segundo día se nos terminó el papel higiénico y cuando volvimos a la habitación nos dimos cuenta de que la camarera de pisos no lo había repuesto. Al avisar por teléfono a recepción, detectamos que el teléfono estaba roto no se podía utilizar, por lo que tuve que bajar a recepción a pedir papel. Al viajar con un bebé, pedimos una cuna pero el primer día estaban todas ocupadas y no nos la pudieron dar. El segundo día, mientras estaba dando el biberón a mi bebé, de repente apareció un hombre sin llamar ni nada en la habitación. Cuando vio que estaba la habitación ocupada cerró y se fue. Más tarde vino la camarera de pisos y me dijo que había sido compañero suyo. Por otro lado la higiene del baño dejaba mucho que desear. Estuvieron durante los cuatro días las mismas manchas y las mismas gotas de agua en los mismos sitios. Daba la sensación de que únicamente reponían las toallas y los geles. El buffet desayuno era muy escaso. El primer día no hubo zumo durante la hora que estuvimos desayunando y Lo repusieron cuando nos íbamos llenando el tanque con dos brik de zumo industrial. Por otro lado los huevos revueltos tenían aspecto muy seco y grisáceo. El pan,Sin embargo, era muy bueno. ",Reina Cristina Hotel,4 de 5 burbujas,vacaciones de 7 en granada
"La situación del hotel es excelente para visitar Granada y para salir a cenar, etc. El servicio es muy atento, pero las instalaciones dejan mucho que desear, es un hotel al que ya hace muchos años le convenía una reforma a fondo.",Reina Cristina Hotel,4 de 5 burbujas,Acogedor
"Hotel acogedor , ubicación cerca del centro . Los empleados muy amables , y la habitación muy limpia y amplia. En cuanto al precio es bastante bueno. ",Reina Cristina Hotel,4 de 5 burbujas,Buen hotel para conocer la ciudad de Granada
"El hotel esta bastante bien para ser un tres estrellas, es un antiguo edificio pero está restaurado con un patio central precioso que le da una increible luminosidad. ",Reina Cristina Hotel,4 de 5 burbujas,Un hotel y un servicio estupendo
el hotel es muy pintoresco y limpio la verdad muy  céntrico y silencioso la hab esta bastante limpia aunque el baño es pequeño,Reina Cristina Hotel,4 de 5 burbujas,"Muy buena ubicacion, pero muy anticuado."
